service_date,line,otp_numerator,otp_denominator,otp_score
2016-01-04,Red Line,177276.03999999998,209425.48,0.8464874474681876
2016-01-04,Silver Line,6627.0,7674.0,0.8635652853792025
2016-01-04,Worcester Line Shuttle,92.0,96.0,0.9583333333333334
2016-01-05,Blue Line,21644.849,24377.251,0.8879118076111207
2016-01-05,Fairmount Line,40.0,40.0,1.0
2016-01-05,Fitchburg Line,33.0,36.0,0.9166666666666666
2016-01-05,Framingham/Worcester Line,41.0,48.0,0.8541666666666666
2016-01-05,Franklin Line,30.0,37.0,0.8108108108108109
2016-01-05,Green Line,5033.9218,7233.6350999999995,0.6959048570199512
2016-01-05,Greenbush Line,17.0,24.0,0.7083333333333334
2016-01-05,Haverhill Line,25.0,48.0,0.5208333333333334
2016-01-05,Kingston/Plymouth Line,24.0,24.0,1.0
